login_account,privilege_level,page_url,operation_time,operation_content
9f26c7aa-44b9-49dc-9de1-35e5f66a0e3d,2,/confidential/hr/compensation/competitiveness-analysis,2025/09/01 00:04:33,Encrypted data access on Android Tablet: yang****99@example.net - Account: 9f26c7aa-44b9-49dc-9de1-35e5f66a0e3d
647340c6-31d4-41aa-9256-8659e6bf517f,2,/products/ai-computing/resource-scheduling/status,2025/09/01 00:09:22,"Secure data operation using macOS PC: Email: qi****ao@company.com, Phone: 138****9716 - Account: 647340c6-31d4-41aa-9256-8659e6bf517f"
1027392a-d1ab-4ae0-ac88-d145fb4f16c3,2,/confidential/products/cloud/gross-margin/analysis,2025/09/01 00:13:54,Encrypted data transfer via macOS PC: 135****2842 - User: 1027392a-d1ab-4ae0-ac88-d145fb4f16c3
0ffb1172-530c-4fa7-af39-33198ae534b2,2,/confidential/finance/product-cost/accounting-analysis,2025/09/01 00:14:35,"Secure data operation using Windows PC: Email: li****99@example.com, Phone: 139****2240 - Account: 0ffb1172-530c-4fa7-af39-33198ae534b2"
145e07e3-6a0f-4bf9-9074-eb7751cfa83f,2,/products/blockchain/certification-volume/stats,2025/09/01 00:37:59,"Secure data operation using Android Tablet: Email: liu****ou@test.com, Phone: 139****6688 - Account: 145e07e3-6a0f-4bf9-9074-eb7751cfa83f"
9e762f93-e3c1-4d6d-b8ad-cd18a50cb0be,2,/products/mobile/sim-card/inventory-alert,2025/09/01 00:43:50,Encrypted data access on Android Tablet: zhang****88@test.com - Account: 9e762f93-e3c1-4d6d-b8ad-cd18a50cb0be
03597217-fcf5-42dc-a6b2-eaf7912d08b6,2,/confidential/products/broadband/marketing/cost-benefit-analysis,2025/09/01 00:46:04,Encrypted data transfer via iPhone: 158****8776 - User: 03597217-fcf5-42dc-a6b2-eaf7912d08b6
a44474ed-b42c-4110-9e08-83bdb21a80de,2,/marketing/customer-satisfaction/csat-nps-dashboard,2025/09/01 00:47:30,"Secure data operation using iPad: Email: liu****ao@example.com, Phone: 143****3646 - Account: a44474ed-b42c-4110-9e08-83bdb21a80de"
721fed6f-0fd1-4ece-8230-25d51bd70fc5,2,/products/ai-computing/resource-scheduling/status,2025/09/01 00:50:19,"Secure data operation using Linux Workstation: Email: li****ou@example.com, Phone: 150****2130 - Account: 721fed6f-0fd1-4ece-8230-25d51bd70fc5"
b10e17e3-f9d2-4364-b674-7693e1c3114c,2,/confidential/finance/cost/breakdown-analysis,2025/09/01 01:06:44,Encrypted data access on iPhone: ji****ou@example.net - Account: b10e17e3-f9d2-4364-b674-7693e1c3114c
82fbfed3-27f6-4813-ac6c-dfaaf23690de,2,/products/broadband/regional/benchmarking-analysis,2025/09/01 01:14:20,Encrypted data access on Linux Workstation: li****88@example.net - Account: 82fbfed3-27f6-4813-ac6c-dfaaf23690de
abacef19-41bd-454e-be49-eb4ec1f73696,2,/products/mobile/package-migration/success-rate-analysis,2025/09/01 01:16:13,Encrypted data transfer via Android Tablet: 158****3864 - User: abacef19-41bd-454e-be49-eb4ec1f73696
e04a2946-78d5-4841-99f4-39ce1b192eea,2,/operations/idc/power-environment-monitoring,2025/09/01 01:22:06,Encrypted data access on Android Phone: li****ou@company.com - Account: e04a2946-78d5-4841-99f4-39ce1b192eea
a68d7520-f4d0-471a-8405-05d7382b6ede,2,/network/broadband/e2e-quality-analysis,2025/09/01 01:28:57,"Secure data operation using Android Phone: Email: liu****99@example.org, Phone: 136****5978 - Account: a68d7520-f4d0-471a-8405-05d7382b6ede"
5bf515d1-24ac-40ed-8da2-03cb9c74958b,2,/marketing/brand/health-tracking-report,2025/09/01 01:32:11,Encrypted data transfer via Windows PC: 152****6312 - User: 5bf515d1-24ac-40ed-8da2-03cb9c74958b
9695c990-982b-43dc-bd16-c2f116fa939b,2,/products/mobile/sim-card/inventory-alert,2025/09/01 02:05:37,Encrypted data access on iPad: xi****12@example.org - Account: 9695c990-982b-43dc-bd16-c2f116fa939b
a75cd85b-af92-4f5e-a6e0-263f6219516f,2,/products/broadband/installation-quality/monitoring,2025/09/01 02:19:39,Encrypted data transfer via macOS PC: 135****3593 - User: a75cd85b-af92-4f5e-a6e0-263f6219516f
ed420cc1-e9eb-4790-a917-3db7d421ab68,2,/products/vr-ar/user-experience/report,2025/09/01 02:24:24,"Secure data operation using macOS PC: Email: zhao****88@example.com, Phone: 151****3722 - Account: ed420cc1-e9eb-4790-a917-3db7d421ab68"
48920fed-1164-4bf2-8439-b7d215ce28c6,2,/confidential/hr/performance/appraisal-tracking-system,2025/09/01 02:28:21,"Secure data operation using Linux Workstation: Email: zhao****99@test.com, Phone: 136****4082 - Account: 48920fed-1164-4bf2-8439-b7d215ce28c6"
962ae397-4370-48ad-a036-ecf738335fbb,2,/products/mobile/customer/segmentation-dashboard,2025/09/01 02:30:52,"Secure data operation using Android Tablet: Email: xi****88@test.com, Phone: 152****1942 - Account: 962ae397-4370-48ad-a036-ecf738335fbb"
145e07e3-6a0f-4bf9-9074-eb7751cfa83f,2,/products/mobile/co-branded-cards/report,2025/09/01 02:31:23,"Secure data operation using Android Phone: Email: qi****88@example.com, Phone: 151****4045 - Account: 145e07e3-6a0f-4bf9-9074-eb7751cfa83f"
a2a26b49-a85b-4301-8974-cf008240b944,2,/products/iot/sim-connection/management-platform,2025/09/01 02:35:02,Encrypted data transfer via Android Phone: 159****8141 - User: a2a26b49-a85b-4301-8974-cf008240b944
275665dd-d3a7-4c90-a945-bd409c1acf6c,2,/products/mobile/dou/usage-analysis-report,2025/09/01 03:09:47,"Secure data operation using Android Tablet: Email: zhang****12@test.com, Phone: 152****8099 - Account: 275665dd-d3a7-4c90-a945-bd409c1acf6c"
03597217-fcf5-42dc-a6b2-eaf7912d08b6,2,/products/mobile/inactive-users/reactivation-campaign,2025/09/01 03:10:56,"Secure data operation using iPhone: Email: zhang****99@example.net, Phone: 159****2160 - Account: 03597217-fcf5-42dc-a6b2-eaf7912d08b6"
